number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
147,0.8042455153560594,2025-05-20 08:04:53.263439,2025-05-20 08:05:11.969021,0 days 00:00:18.705582,0.9694540819358585,0.5141739218079205,0.2493428471651292,0,8,1,231,0.7460212009814858,0.16425723649752597,13.779649338255226,0.8855895030082285,COMPLETE
148,0.7090789534629494,2025-05-20 08:04:57.926594,2025-05-20 08:05:24.081216,0 days 00:00:26.154622,0.9938858703098135,0.21005954663801923,0.010234345648914352,4,8,2,231,0.842934301957357,0.17284851789080766,17.552866383719053,0.9641229959817568,COMPLETE
149,0.809055013765726,2025-05-20 08:04:58.380528,2025-05-20 08:05:19.799484,0 days 00:00:21.418956,0.992935786935428,0.20748121790923338,0.20842698456205902,4,8,2,230,0.810636777054414,0.8891077622682648,12.269900716212568,0.9661443280636982,COMPLETE
150,0.71396170608285,2025-05-20 08:04:59.854518,2025-05-20 08:05:26.595102,0 days 00:00:26.740584,0.9926463999374456,0.014462763156776526,0.01131426800769256,4,8,1,231,0.7612975582587533,0.1633735288789987,18.026917595586607,0.9656016403719125,COMPLETE
151,0.8109617237641473,2025-05-20 08:05:02.205563,2025-05-20 08:05:30.218308,0 days 00:00:28.012745,0.9914775673028754,0.020319604554569604,0.17202938639500456,7,8,1,254,0.7999844254980661,0.08621368354310807,17.728952443408005,0.965700563468224,COMPLETE
152,0.8118815618347245,2025-05-20 08:05:03.523585,2025-05-20 08:05:31.330120,0 days 00:00:27.806535,0.9689212164714299,0.018958823757222576,0.20594892400069806,6,8,1,255,0.8620221532668887,0.09929409210318477,17.733953466775276,0.9633603495946728,COMPLETE
153,0.8072936797534822,2025-05-20 08:05:06.218392,2025-05-20 08:05:32.639622,0 days 00:00:26.421230,0.9688436468721394,0.017571177162060636,0.17065920030812393,7,8,1,230,0.8522941297920604,0.10067383255537041,13.890111279104568,0.8622079627122367,COMPLETE
154,0.8081077034544684,2025-05-20 08:05:06.812390,2025-05-20 08:05:33.082622,0 days 00:00:26.270232,0.9683544396193904,0.0043735218698778625,0.16700044598377076,6,8,1,231,0.8063242529368045,0.10724507774537939,22.691132163832226,0.8641205616969905,COMPLETE
155,0.8106095695062855,2025-05-20 08:05:11.972023,2025-05-20 08:05:38.119043,0 days 00:00:26.147020,0.9691078581410794,0.01074222380525841,0.2104020504992106,7,8,1,230,0.8638000286325203,0.10465369483262951,17.49247416679252,0.9665670756397822,COMPLETE
156,0.8124099364910171,2025-05-20 08:05:19.802485,2025-05-20 08:05:48.182529,0 days 00:00:28.380044,0.9673372440679929,0.025029198873606676,0.165111158815168,7,8,1,255,0.8971575028745122,0.13517542983270586,9.7159487580457,0.9610183117352823,COMPLETE
