number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
45,0.7891384341816329,2025-06-15 14:02:16.177922,2025-06-15 14:02:46.097812,0 days 00:00:29.919890,0.952739876363052,0.5539949334757316,0.012040783040714893,5,10,4,208,0.36238699062500784,0.6370875258118072,1.4515075838858014,0.9957053980481797,COMPLETE
46,0.7624610760630978,2025-06-15 14:02:17.109394,2025-06-15 14:02:47.208753,0 days 00:00:30.099359,0.9594575689745762,0.4599350934466184,0.011644774426612069,5,10,4,201,0.3740932903004546,0.6462293520188865,7.342675135984074,0.9385967665620432,COMPLETE
47,0.7613313163077761,2025-06-15 14:02:19.011879,2025-06-15 14:02:51.235724,0 days 00:00:32.223845,0.9996236261235844,0.5445570019730608,0.010745075741308537,5,10,4,206,0.37595392150896945,0.07615310669543404,8.277201943655006,0.94122383137259,COMPLETE
48,0.7654134653259373,2025-06-15 14:02:19.372412,2025-06-15 14:02:51.509739,0 days 00:00:32.137327,0.9735306122161458,0.4979637271774725,0.010400668714557639,5,10,4,208,0.09670882746996903,0.09629122876555007,7.083185697738467,0.8385217945018617,COMPLETE
49,0.7644187684992196,2025-06-15 14:02:27.054068,2025-06-15 14:02:57.717084,0 days 00:00:30.663016,0.9789324947782819,0.6481578629941736,0.010802437932279564,5,10,4,209,0.41399136946876924,0.10996278523216778,7.727573312851443,0.8414049606821582,COMPLETE
50,0.7729701955178883,2025-06-15 14:02:39.823991,2025-06-15 14:03:08.665231,0 days 00:00:28.841240,0.9759731493878793,0.5270822737252729,0.013457959606077732,5,10,4,208,0.1283884272555315,0.0996505567373491,7.637746101131682,0.8466487455652779,COMPLETE
51,0.769858154757405,2025-06-15 14:02:44.533577,2025-06-15 14:03:10.908010,0 days 00:00:26.374433,0.9704142521932223,1.1433632152248423,0.01454287705832863,5,9,4,209,0.09532554169638752,0.13812188014664795,7.444612390252955,0.8373528073648927,COMPLETE
52,0.773751243499772,2025-06-15 14:02:44.922963,2025-06-15 14:03:16.008689,0 days 00:00:31.085726,0.8674306119078556,0.6462499239739017,0.015186492597787699,8,10,4,213,0.4372596015418433,0.14272864985302103,8.387159996506252,0.9669650474630903,COMPLETE
53,0.7714637140761881,2025-06-15 14:02:46.101815,2025-06-15 14:03:13.850338,0 days 00:00:27.748523,0.9814414275266181,1.163132095259757,0.016792539607191324,8,10,4,193,0.416752895742182,0.1346619443284814,8.425218577404735,0.9641172386342436,COMPLETE
54,0.7827518802405702,2025-06-15 14:02:47.211803,2025-06-15 14:03:16.023214,0 days 00:00:28.811411,0.993130246212891,1.0654682104887623,0.014622207968714829,8,9,4,219,0.10562760562881635,0.06986763860490802,4.269472082854143,0.9780754186847027,COMPLETE
55,0.7903900772325542,2025-06-15 14:02:51.244730,2025-06-15 14:03:19.779493,0 days 00:00:28.534763,0.939672523658901,1.1182340928622172,0.017167572663565202,8,9,4,216,0.08977642831998878,0.1402816675080808,3.931156905598444,0.9667868565862521,COMPLETE
