number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
35,0.9140411590559984,2025-06-15 11:06:53.496765,2025-06-15 11:07:14.121273,0 days 00:00:20.624508,0.7285948891158041,1.5674948953995869,0.06282622137063187,0,9,2,274,0.14898226591962693,0.8525886426633149,5.940229364367843,0.807230973369341,COMPLETE
36,0.9111414320874,2025-06-15 11:06:57.323066,2025-06-15 11:07:13.718360,0 days 00:00:16.395294,0.7361584976273742,2.7136804211593093,0.06167686994113943,0,8,2,272,0.13235015228815317,0.8726726094633893,5.354081558808533,0.821704795021426,COMPLETE
37,0.9017547893319031,2025-06-15 11:07:07.005990,2025-06-15 11:07:26.588185,0 days 00:00:19.582195,0.7333499632112713,2.987049013350382,0.1514096726371941,0,8,2,280,0.1218024470975444,0.859823873867481,27.51995962662009,0.8112727807319371,COMPLETE
38,0.9037646647870894,2025-06-15 11:07:09.010608,2025-06-15 11:07:30.185856,0 days 00:00:21.175248,0.7408844943685511,2.6458915004984984,0.15004978299461877,0,8,2,281,0.1195439157078525,0.8492317944221359,29.329987169788662,0.8153038593644705,COMPLETE
39,0.9015530024562033,2025-06-15 11:07:09.444652,2025-06-15 11:07:31.714845,0 days 00:00:22.270193,0.831441594133492,2.956301519822143,0.1453765950879901,6,8,2,285,0.1395035665410468,0.8921452370602027,27.84395081435885,0.8043895289424543,COMPLETE
40,0.9018754052007463,2025-06-15 11:07:12.984951,2025-06-15 11:07:33.555124,0 days 00:00:20.570173,0.8277526604848348,2.837038111153783,0.14032270787748072,7,8,2,284,0.4918752261509015,0.8650105136998426,32.63886330338332,0.8104231271853395,COMPLETE
41,0.9154402278169229,2025-06-15 11:07:13.722361,2025-06-15 11:07:46.375347,0 days 00:00:32.652986,0.8293753838050524,0.28213162713799744,0.1436563522395025,6,10,3,285,0.4886508556244706,0.834107887768326,17.051561086874692,0.7978846417445978,COMPLETE
42,0.9021109238024707,2025-06-15 11:07:14.124787,2025-06-15 11:07:35.877582,0 days 00:00:21.752795,0.7695653441503405,2.7849587466683134,0.13768972527038292,7,10,3,246,0.4872669338130356,0.9197001228082471,33.49054371457812,0.7108572722963489,COMPLETE
43,0.9147994407680888,2025-06-15 11:07:15.821172,2025-06-15 11:07:46.508900,0 days 00:00:30.687728,0.8250742058624083,0.27034260856225484,0.1551288909283223,7,10,3,251,0.2950382509882878,0.9129470175089828,16.432738918847246,0.8196895312600749,COMPLETE
44,0.899551324900491,2025-06-15 11:07:16.538495,2025-06-15 11:07:34.909156,0 days 00:00:18.370661,0.8322139242778303,2.7530654576797713,0.14204106122955104,6,10,3,249,0.4858096139760956,0.8103843618595822,33.5721834513018,0.8730672189869543,COMPLETE
45,0.9144037335827988,2025-06-15 11:07:26.593716,2025-06-15 11:07:57.739988,0 days 00:00:31.146272,0.8296763467076881,0.2336965337447618,0.14266757536655747,6,10,3,250,0.29145723259585987,0.27700823298668553,33.310824516083436,0.71064393675242,COMPLETE
46,0.9057478772665644,2025-06-15 11:07:30.187869,2025-06-15 11:08:04.385126,0 days 00:00:34.197257,0.8263640834384294,0.27509408243802336,0.04097351395853069,8,10,3,255,0.7255954673387879,0.9253178610378816,32.82841540886136,0.7050411441770941,COMPLETE
47,0.9064059013592628,2025-06-15 11:07:31.718846,2025-06-15 11:08:05.655575,0 days 00:00:33.936729,0.7718981431663414,0.28583598561362256,0.03864285757992708,9,10,3,252,0.29578491478537844,0.8014794164355197,33.18871214007609,0.8740783996019987,COMPLETE
48,0.9109372594993431,2025-06-15 11:07:33.558643,2025-06-15 11:08:06.405492,0 days 00:00:32.846849,0.7841171195407046,0.2732731500086461,0.040555091060080165,9,10,3,253,0.7116465265305217,0.9782042159014057,16.40721606652898,0.9284008241949943,COMPLETE
